Name,CustomerType,Address,Contact,Status
Shubham_Client_001,Corporate,"Ohio State Universty, West Lane Avenue, Columbus, OH, USA",shubham_client_001@yopmail.com |  +1 123-456-7890,Active
oop,Corporate,"Fresno, CA, USA","",Active
plural clients,Corporate,"South Carolina, USA",plural@yopmail.com |  +1 999-888-7776,Active
new client with new name,Corporate,"North Carolina, USA",client063@yopmail.com,Active
Taazaa,Corporate,"Noi Due Cafe, Columbus Avenue, New York, NY, USA",note65@yopmail.com |  +1 123-456-7891,Active
Pari niketan,Corporate,"Philadelphia, PA, USA", +1 123-456-7890,Active
kkk,Corporate,"Kentucky, USA","",Active
312 ~!@#$%^&*()_+{}|:"<>? Test,Corporate,"Testarossa Winery, College Avenue, Los Gatos, CA, USA",test@test.test |  +1 435-435-3455,Active
John mathew,Corporate,"Fresno, CA, USA",sdsd@yopmail.com |  +1 123-456-7890,Active
G.D. Goenka Public School,Corporate,"Taazaa Inc - Custom Software & Mobile Application Development Company in USA, Stoney Hill Drive, Hudson, OH, USA",info@goenka.com |  +1 565-656-5505,Active
Allendale Columbia,Corporate,"Allendale Columbia School, Allens Creek Road, Rochester, NY, USA",allendale.columbia@yopmail.com |  +1 878-787-8787,Active
rye,Corporate,"El Paso, TX, USA", +1 123-456-7890,Active
public school,Corporate,"Philadelphia, PA, USA", +1 123-456-7890,Active
Ashok,Corporate,"Alaska, USA", +1 123-456-7890,Active
icci,Corporate,"Indianapolis, IN, USA", +1 123-456-7890,Active
asdf,Corporate,"San Francisco, CA, USA", +1 123-456-7890,Active
rssw,Corporate,"Denver, CO, USA",Sa@yopmail.com |  +1 123-456-7890,Active
School,Corporate,"San Francisco, CA, USA", +1 123-456-7890,Active
SBI,Corporate,"San Francisco, CA, USA",sbi@yopmail.com |  +1 987-654-3210,Active
Amazon,Corporate,"Alaska, USA",amazon@yopmail.com |  +1 123-456-7892,Active
Flipkart,Corporate,"Alabama, USA",flipkart1@yopmail.com |  +1 123-456-7891,Active
Cony High School,Corporate,"Cony High School, Pierce Drive, Augusta, ME, USA", +1 123-456-7232,Active
Test client,Corporate,"Hudson Yards, Manhattan, New York, NY, USA",testclient@yopmail.com |  +1 123-456-7890,Active
sdad,Corporate,"Dassel, MN, USA","",Active
Akshat Client 3rd MAY,Corporate,"Miami, FL, USA",Mayclient@yopmail.com |  +1 123-456-7890,Active
New York Darshan Travels ,Corporate,"New York Marriott Marquis, Broadway, New York, NY, USA",akshat@yopmail.com |  +1 213-231-3131,Active
mmm,Corporate,"Indianapolis, IN, USA", +1 123-412-3422,Active
Taazaa Tech Pvt Ltd,Corporate,"Pegasus Hobbies, West 7th Street, Upland, CA, USA",no@email.com |  +1 090-909-0909,Active
shafatester,Corporate,"Drive Pink Stadium, Northwest 55th Street, Fort Lauderdale, FL, USA",qashafa@yopmail.com,Active
Shafa,Corporate,"Dallas, TX, USA","",Active
Shubham Arora,Corporate,"San Francisco, CA, USA", +1 123-456-7890,Active
test,Corporate,"Golden Gate Bridge, Golden Gate Bridge, San Francisco, CA, USA",sd@g.coms,Active
Morris Mano,Individual,"21 Dey Street, New York, NY, USA",abc@gmail.com,1803
Saint school,Individual,"Hudson Yards, Manhattan, New York, NY, USA",saint.co@yopmail.com,1803
ABBBBB ABFBVF,Individual,"21 North May Street, Chicago, IL, USA",DSFFDSFDS@AD.COM,1803
New CLient ,Corporate,"Rupesh Tarwala, MD, East 67th Street, New York, NY, USA",testc@yopmail.com |  +1 545-45f-dfdf,Active
BSS School,Corporate,"Ohio State Universty, West Lane Avenue, Columbus, OH, USA",Robertdave@yopmail.com |  +1 123-456-7890,Active
rupesh test,Individual,"New York, NY, USA",newyork@yopmail.com,Active
test,Corporate,"FGCU University Recreation & Wellness Center, Fort Myers, FL, USA",sdas@sdsd.com,Active
new,Corporate,"DSD Trucking & CFS, Santa Fe Avenue, Redondo Beach, CA, USA",sas@ssd.com,Active
VValidation,Corporate,"Austin, TX, USA",vali@sassa.com |  +1 323-323-3333,Active
New Ind Client,Individual,"Raleigh, NC, USA",newind@yopmail.com |  +1 343-434-3434,Active
New Client client,Individual,"Ohio, USA",client@yopmail.com,Active
Shubham kala,Corporate,"Long Island, New York, USA",shubhamkalba@yopmail.com |  +1 123-456-7890,Active
aman,Corporate,"Hudson Yards, Manhattan, New York, NY, USA",aman2323@yopmail.com |  +1 234-234-3243,Active
test client,Individual,"New Jersey, USA",tc@yopmail.com |  +1 156-456-46498,Active
alphaFirstName betaLastName,Individual,"Los Angeles International Airport (LAX), World Way, Los Angeles, CA, USA",betaLastName@testing.com |  +1 123-456-7890,Active
new client,Individual,"Chicago, IL, USA",new@yopmail.com |  +1 434-343-546465,Active
ffdd,Corporate,"JFK Airport (JFK), Queens, NY, USA",hj@yopmail.com,Active
